Year,Total,Full_time,Part_time,Total_Males,Total_Females
1967,896065,448238,447827,630701,265364
1968,1037377,469747,567630,696649,340728
1969,1120175,506833,613342,738673,381502
1970,1212243,536226,676017,793940,418303
1971,1204390,564236,640154,789131,415259
1972,1272421,583299,689122,810164,462257
1973,1342452,610935,731517,833453,508999
1974,1425001,643927,781074,856847,568154
1975,1505404,672938,832466,891992,613412
1976,1577546,683825,893721,904551,672995
1977,1569084,698902,870182,891819,677265
1978,1575693,704831,870862,879931,695762
1979,1571922,714624,857298,862754,709168
1980,1621840,736214,885626,874197,747643
1981,1617150,732182,884968,866785,750365
1982,1600718,736813,863905,860890,739828
1983,1618666,747016,871650,865425,753241
1984,1623869,750735,873134,856761,767108
1985,1650381,755629,894752,856370,794011
1986,1705536,767477,938059,867010,838526
1987,1720407,768536,951871,863599,856808
1988,1738789,794340,944449,864252,874537
1989,1796029,820254,975775,879025,917004
1990,1859531,844955,1014576,904150,955381
1991,1919666,893917,1025749,930841,988825
1992,1949659,917676,1031983,941053,1008606
1993,1980844,948136,1032708,943768,1037076
1994,2016182,969070,1047112,949785,1066397
1995,2030062,983534,1046528,941409,1088653
1996,2040572,1004114,1036458,932153,1108419
1997,2051747,1019464,1032283,927496,1124251
1998,2070030,1024627,1045403,923132,1146898
1999,2110246,1049591,1060655,930930,1179316
2000,2156896,1086674,1070222,943501,1213395
2001,2212377,1119862,1092515,956384,1255993
2002,2354634,1212107,1142527,1009726,1344908
2003,2431117,1280880,1150237,1032892,1398225
2004,2491414,1325841,1165573,1047214,1444200
2005,2523511,1350581,1172930,1047054,1476457
2006,2574568,1386226,1188342,1061059,1513509
2007,2644357,1428914,1215443,1088314,1556043
2008,2737076,1492813,1244263,1122272,1614804
2009,2849415,1567080,1282335,1169777,1679638
2010,2937011,1630142,1306869,1209477,1727534
2011,2933287,1637356,1295931,1211264,1722023
2012,2908840,1637312,1271528,1204068,1704772
2013,2900373,1657334,1243039,1201057,1699316
2014,2914582,1670173,1244409,1211151,1703431
2015,2940492,1685837,1254655,1221566,1718926
